bar_number,distance_from_D1
D1,0
D2,2.75
D3,5.55
D4,8.45
D5,11.35
D6,14.35
D7,17.4
D8,20.5
D9,23.7
D10,26.9
D11,30.2
D12,33.55
D13,37
D14,40.5
D15,44.05
D16,47.7
D17,51.45
D18,55.3
D19,59.2
D20,63.15
D21,67.2
D22,71.35
D23,75.6
D24,79.9
D25,84.3
D26,88.8
D27,93.45
D28,98.2
D29,103
D30,107.9
D31,112.9
D32,118
D33,123.3
D34,128.7
D35,134.2
D36,139.8
D37,145.5
D38,151.35
D39,157.4
D40,163.6
D41,170
D42,176.7
D43,183.9
D44,191.6
D45,199.3
